,요일,기상상태,노면상태,사고유형,연,월,일,시간,도시,구,동,도로형태1,도로형태2
0,6,2,0,0,0,0,0,0,0,7,40,2,5
1,6,5,0,0,0,0,0,0,0,1,4,2,5
2,6,2,0,0,0,0,0,1,0,6,66,2,5
3,6,2,0,1,0,0,0,2,0,4,79,2,5
4,6,2,0,1,0,0,0,4,0,3,129,2,5
5,6,2,0,1,0,0,0,4,0,1,4,2,5
6,6,2,0,1,0,0,0,5,0,6,168,0,3
7,6,5,0,1,0,0,0,6,0,1,103,2,5
8,6,2,0,1,0,0,0,6,0,4,175,1,5
9,6,2,0,1,0,0,0,10,0,3,167,2,9
10,6,2,0,1,0,0,0,11,0,5,183,2,5
11,6,2,0,1,0,0,0,14,0,3,124,0,3
12,6,2,0,1,0,0,0,14,0,5,100,2,8
13,6,2,0,1,0,0,0,18,0,1,144,2,5
14,6,2,0,2,0,0,0,19,0,6,194,2,1
15,6,2,0,0,0,0,0,19,0,4,17,0,4
16,6,2,0,1,0,0,0,20,0,3,131,1,5
17,6,2,0,1,0,0,0,20,0,6,68,2,5
18,6,2,0,1,0,0,0,22,0,7,22,0,3
19,2,2,0,1,0,0,1,1,0,5,89,2,5
20,2,2,0,1,0,0,1,2,0,4,174,2,5
21,2,2,0,0,0,0,1,7,0,1,65,2,5
22,2,2,0,1,0,0,1,8,0,5,183,2,5
23,2,2,0,1,0,0,1,10,0,6,126,2,5
24,2,2,0,1,0,0,1,10,0,1,36,2,5
25,2,2,0,0,0,0,1,10,0,2,146,4,7
26,2,2,0,0,0,0,1,11,0,2,32,2,5
27,2,2,0,1,0,0,1,13,0,3,149,0,3
28,2,2,0,1,0,0,1,13,0,6,68,0,2
29,2,2,0,1,0,0,1,13,0,6,123,0,3
30,2,2,0,1,0,0,1,14,0,3,83,1,5
31,2,2,0,1,0,0,1,14,0,3,149,2,5
32,2,2,0,1,0,0,1,14,0,1,103,0,3
33,2,2,0,0,0,0,1,14,0,2,34,0,4
34,2,2,0,1,0,0,1,14,0,7,54,2,5
35,2,2,0,1,0,0,1,14,0,1,65,0,3
36,2,2,0,1,0,0,1,15,0,1,36,2,5
37,2,2,0,1,0,0,1,15,0,5,183,0,2
38,2,2,0,1,0,0,1,15,0,5,153,2,5
39,2,2,0,0,0,0,1,16,0,1,65,0,2
40,2,2,0,1,0,0,1,17,0,0,152,0,3
41,2,2,0,1,0,0,1,17,0,2,146,0,2
42,2,2,0,1,0,0,1,18,0,6,119,2,5
43,2,2,0,1,0,0,1,18,0,4,31,2,5
44,2,2,0,1,0,0,1,18,0,5,89,2,5
45,2,2,0,1,0,0,1,18,0,4,106,2,5
46,2,2,0,1,0,0,1,18,0,4,14,2,5
47,2,2,0,1,0,0,1,18,0,4,187,0,2
48,2,2,0,1,0,0,1,19,0,6,179,2,5
49,2,2,0,1,0,0,1,19,0,2,32,2,5
50,2,2,0,1,0,0,1,19,0,1,4,2,5
51,2,2,0,1,0,0,1,20,0,6,99,2,5
52,2,2,0,1,0,0,1,22,0,1,151,0,3
53,2,2,0,2,0,0,1,23,0,4,106,0,2
54,1,2,0,1,0,0,2,0,0,3,195,2,5
55,1,2,0,1,0,0,2,2,0,4,150,0,3
56,1,2,0,1,0,0,2,3,0,7,23,0,3
57,1,2,0,1,0,0,2,5,0,4,31,0,3
58,1,2,0,1,0,0,2,7,0,1,163,1,5
59,1,2,0,1,0,0,2,8,0,6,68,2,5
60,1,2,0,1,0,0,2,8,0,4,79,2,5
61,1,2,0,0,0,0,2,10,0,1,144,0,4
62,1,2,0,1,0,0,2,11,0,0,38,1,5
63,1,2,0,1,0,0,2,11,0,4,63,0,3
64,1,2,0,0,0,0,2,12,0,3,169,0,2
65,1,2,0,1,0,0,2,12,0,3,129,0,3
66,1,2,0,0,0,0,2,12,0,4,31,2,5
67,1,2,0,1,0,0,2,12,0,0,38,2,5
68,1,2,0,0,0,0,2,13,0,4,91,2,5
69,1,2,0,0,0,0,2,14,0,1,144,0,3
70,1,2,0,1,0,0,2,14,0,1,144,0,2
71,1,2,0,1,0,0,2,14,0,5,89,0,2
72,1,2,0,1,0,0,2,15,0,0,38,2,5
73,1,2,0,1,0,0,2,17,0,2,32,0,3
74,1,2,0,1,0,0,2,17,0,4,31,2,5
75,1,2,0,1,0,0,2,17,0,4,174,2,5
76,1,2,0,0,0,0,2,18,0,7,46,2,5
77,1,2,0,1,0,0,2,18,0,1,81,1,5
78,1,2,0,1,0,0,2,18,0,1,81,2,5
79,1,2,0,1,0,0,2,19,0,3,137,2,5
80,1,2,0,1,0,0,2,19,0,3,195,0,3
81,1,2,0,0,0,0,2,19,0,3,131,2,5
82,1,2,0,1,0,0,2,20,0,6,78,0,3
83,1,2,0,1,0,0,2,20,0,4,175,2,5
84,1,2,0,1,0,0,2,21,0,1,125,0,3
85,1,2,0,1,0,0,2,21,0,1,111,2,5
86,1,2,0,1,0,0,2,22,0,5,183,2,5
87,1,2,0,1,0,0,2,23,0,0,38,0,3
88,0,2,0,1,0,0,3,0,0,1,138,0,2
89,0,2,0,1,0,0,3,1,0,5,89,0,3
90,0,2,0,1,0,0,3,4,0,7,40,0,2
91,0,2,0,1,0,0,3,5,0,5,183,0,2
92,0,2,0,0,0,0,3,5,0,7,178,0,4
93,0,2,0,1,0,0,3,6,0,5,89,2,5
94,0,2,0,1,0,0,3,6,0,1,151,2,5
95,0,2,0,0,0,0,3,7,0,1,151,2,5
96,0,2,0,1,0,0,3,8,0,1,36,0,2
97,0,2,0,1,0,0,3,10,0,1,151,0,3
98,0,2,0,1,0,0,3,11,0,3,137,0,2
99,0,2,0,1,0,0,3,11,0,4,174,0,3
100,0,2,0,2,0,0,3,12,0,3,50,2,5
101,0,2,0,1,0,0,3,12,0,6,140,2,5
102,0,2,0,0,0,0,3,13,0,1,125,2,5
103,0,2,0,1,0,0,3,14,0,3,88,0,2
104,0,2,0,1,0,0,3,14,0,1,103,0,3
105,0,2,0,0,0,0,3,15,0,4,175,2,5
106,0,2,0,1,0,0,3,16,0,3,129,0,2
107,0,2,0,1,0,0,3,16,0,1,103,2,5
108,0,2,0,0,0,0,3,17,0,0,38,2,5
109,0,2,0,1,0,0,3,17,0,3,195,2,5
110,0,2,0,0,0,0,3,17,0,4,172,0,3
111,0,2,0,1,0,0,3,17,0,1,138,2,5
112,0,2,0,0,0,0,3,18,0,1,157,2,5
113,0,5,0,0,0,0,3,18,0,4,150,0,2
114,0,2,0,0,0,0,3,18,0,4,106,2,5
115,0,2,0,0,0,0,3,19,0,6,71,0,2
116,0,2,0,1,0,0,3,19,0,1,103,0,2
117,0,2,0,1,0,0,3,20,0,0,38,2,5
118,0,2,0,2,0,0,3,20,0,0,38,0,2
119,0,2,0,1,0,0,3,20,0,1,144,0,2
120,0,2,0,0,0,0,3,21,0,1,144,2,5
121,5,2,0,1,0,0,4,0,0,6,194,2,5
122,5,2,0,1,0,0,4,0,0,1,42,0,2
123,5,2,0,0,0,0,4,0,0,7,96,2,5
124,5,2,0,1,0,0,4,1,0,5,100,2,5
125,5,2,0,1,0,0,4,4,0,6,117,0,3
126,5,5,0,1,0,0,4,4,0,1,65,0,3
127,5,2,0,1,0,0,4,8,0,3,167,1,5
128,5,2,0,1,0,0,4,9,0,4,181,2,5
129,5,2,0,1,0,0,4,10,0,6,126,0,3
130,5,2,0,1,0,0,4,11,0,4,150,2,5
131,5,2,0,1,0,0,4,12,0,6,95,0,3
132,5,2,0,1,0,0,4,12,0,4,79,0,3
133,5,2,0,1,0,0,4,12,0,1,111,2,5
134,5,2,0,1,0,0,4,13,0,6,78,2,5
135,5,2,0,0,0,0,4,13,0,1,171,2,5
136,5,2,0,1,0,0,4,14,0,6,168,2,5
137,5,2,0,0,0,0,4,15,0,4,172,2,5
138,5,2,0,0,0,0,4,16,0,6,168,2,5
139,5,2,0,1,0,0,4,16,0,6,194,2,5
140,5,2,0,1,0,0,4,16,0,6,118,2,5
141,5,2,0,2,0,0,4,16,0,2,0,0,3
142,5,2,0,0,0,0,4,16,0,5,183,2,5
143,5,2,0,1,0,0,4,16,0,5,89,0,3
144,5,2,0,1,0,0,4,17,0,3,75,2,5
